loan_status,loan_amnt,term,int_rate,installment,annual_inc,home_ownership,verification_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,application_type,tot_hi_cred_lim,avg_cur_bal,bc_open_to_buy,delinq_amnt,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_op_rev_tl,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies
Fully Paid,33000.0, 36 months,17.75,1188.89,32534.43,MORTGAGE,Source Verified,debt_consolidation,FL,16.31,0,775.0,10,0,8427.63,27,w,Individual,46156.22,2402.79,6799.36,0,207.8,8.1,8.3,2,20.4,10,17,13,19,18,98.7,81.7,0
Charged Off,8706.319905077751, 60 months,30.99,287.0,38700.12,RENT,Source Verified,major_purchase,ID,20.02,0,675.0,10,0,22278.02,23,w,Individual,21915.65,2941.68,9533.38,0,205.2,11.1,4.0,0,5.2,4,6,6,7,8,100.0,82.2,0
Fully Paid,18000.0, 36 months,20.64,674.83,53107.63,MORTGAGE,Source Verified,credit_card,DC,9.26,0,705.0,13,0,4918.21,31,f,Individual,20583.21,352.22,5998.43,0,161.1,11.6,10.2,4,10.1,0,2,1,4,2,95.3,9.5,0
Charged Off,40000.0, 36 months,25.36,1598.02,96838.91,MORTGAGE,Source Verified,small_business,UT,6.64,0,705.0,12,0,15411.39,29,f,Individual,56300.61,2254.07,58607.14,0,110.3,5.4,4.4,3,12.4,3,6,5,9,7,96.7,58.5,0
Fully Paid,39500.0, 36 months,24.81,1566.55,78890.73,MORTGAGE,Not Verified,credit_card,AK,17.15,0,670.0,7,0,11334.59,12,f,Joint App,156458.31,19806.13,28336.98,0,144.9,15.7,9.0,1,3.2,6,7,7,11,7,95.9,21.5,0
Fully Paid,14000.0, 36 months,21.72,532.64,78899.94,RENT,Verified,debt_consolidation,DE,22.17,0,710.0,15,0,4896.42,31,w,Individual,77762.85,10231.15,4699.82,0,215.6,5.7,1.8,0,24.7,5,6,6,13,7,95.4,57.2,0
Charged Off,28618.99662812481, 60 months,30.99,943.4,57188.99,MORTGAGE,Not Verified,debt_consolidation,WA,22.36,0,660.0,8,0,1745.15,15,w,Individual,33924.21,1328.84,4911.67,0,166.3,1.6,1.2,5,24.9,4,7,4,5,10,96.6,73.6,0
Fully Paid,19000.0, 36 months,18.35,690.24,23529.26,MORTGAGE,Not Verified,debt_consolidation,MN,34.62,0,765.0,6,1,24775.44,22,w,Individual,85716.18,13375.87,4529.81,0,147.6,20.2,3.9,3,1.4,5,8,6,8,13,96.5,9.8,0
Fully Paid,40000.0, 36 months,21.09,1508.85,207883.43,MORTGAGE,Source Verified,debt_consolidation,NM,12.14,0,720.0,9,2,4420.07,23,w,Joint App,55336.64,3634.49,4666.42,0,117.3,8.8,4.2,2,10.7,5,9,6,12,9,97.2,29.3,1
Charged Off,12406.294666628735, 36 months,29.0,519.89,29696.67,MORTGAGE,Source Verified,debt_consolidation,WY,22.14,0,660.0,8,0,15169.62,22,w,Individual,100871.04,11544.6,9906.53,0,198.0,29.0,9.3,2,7.6,8,11,8,10,12,96.1,22.6,0
Fully Paid,2500.0, 36 months,20.34,93.34,130424.44,MORTGAGE,Verified,credit_card,AZ,21.33,0,725.0,9,0,3825.36,23,w,Individual,7598.64,918.93,704.49,0,216.5,4.1,1.3,5,12.1,6,11,10,10,13,99.1,62.2,0
Fully Paid,38000.0, 36 months,20.14,1414.93,63173.37,MORTGAGE,Verified,home_improvement,WI,20.95,0,695.0,12,0,3368.26,23,w,Individual,110400.69,9287.22,12787.84,0,238.3,1.6,6.0,0,9.9,1,2,4,8,3,97.8,55.3,0
Charged Off,17718.79892488171, 60 months,29.66,569.57,36408.47,MORTGAGE,Verified,debt_consolidation,MO,20.32,1,690.0,9,0,5196.53,27,f,Individual,25060.42,2210.66,456.85,0,169.6,3.1,1.3,2,6.4,2,4,2,3,7,92.5,60.4,0
Charged Off,27818.23218726446, 36 months,27.8,1147.66,106767.33,RENT,Not Verified,credit_card,GA,22.04,0,680.0,10,0,2919.75,29,f,Individual,40635.05,1987.5,1132.62,0,194.1,22.6,5.8,0,5.5,1,6,1,1,8,97.0,56.2,0
Charged Off,14551.87332446878, 36 months,25.36,581.35,24937.0,RENT,Source Verified,debt_consolidation,AZ,21.79,0,705.0,15,0,16072.56,26,w,Individual,43755.65,5956.43,11047.95,0,149.3,10.7,0.4,0,11.0,5,6,7,12,9,95.4,88.5,0
Charged Off,13080.237720228935, 60 months,30.99,431.18,26346.81,RENT,Source Verified,small_business,MN,28.31,0,660.0,12,0,13740.42,25,w,Individual,40511.23,6225.95,5008.07,0,207.7,5.7,4.7,0,7.9,3,5,4,8,7,97.4,33.0,0
Fully Paid,9000.0, 36 months,20.87,338.48,81012.56,MORTGAGE,Not Verified,other,AL,11.29,0,705.0,4,0,6086.09,15,w,Joint App,63352.75,8832.88,8064.02,0,229.8,22.9,4.1,1,27.3,3,6,4,5,11,97.3,29.2,0
Fully Paid,30500.0, 36 months,19.01,1118.16,82595.53,MORTGAGE,Not Verified,small_business,FL,0.0,0,735.0,12,0,69297.22,25,w,Individual,89788.84,13737.72,2895.7,0,96.9,10.9,4.8,1,12.7,2,4,2,6,6,99.1,53.0,0
Fully Paid,8000.0, 36 months,19.51,295.32,124576.53,RENT,Verified,credit_card,WV,14.28,1,735.0,9,0,3418.27,23,w,Individual,106457.38,15655.89,509.34,0,235.9,14.2,2.2,2,12.7,2,3,4,7,3,82.7,61.6,0
Charged Off,16921.68015917276, 60 months,29.13,538.47,86315.39,MORTGAGE,Not Verified,debt_consolidation,OH,36.85,0,660.0,11,2,5549.88,28,w,Individual,75297.61,7379.15,5037.0,0,171.8,13.7,5.0,6,8.8,3,5,5,6,7,97.6,16.8,1
Fully Paid,5500.0, 36 months,21.1,207.5,69906.86,MORTGAGE,Source Verified,debt_consolidation,AL,24.01,0,715.0,13,2,30077.2,27,f,Joint App,27454.38,5597.29,2730.98,0,233.4,11.4,6.6,4,25.3,4,5,7,10,6,95.5,30.7,1
Charged Off,12914.140501872253, 60 months,28.05,402.48,57982.89,MORTGAGE,Verified,debt_consolidation,NC,9.17,0,675.0,18,0,17277.86,31,w,Individual,54495.37,5337.94,2105.42,0,98.2,7.8,8.6,4,5.8,3,5,5,13,6,97.3,88.8,0
Fully Paid,10500.0, 36 months,23.56,409.52,66541.17,RENT,Source Verified,credit_card,AK,22.94,0,665.0,10,0,8883.57,24,w,Individual,33116.93,3740.12,8644.37,0,252.1,15.1,2.6,0,57.6,3,6,5,9,7,97.8,57.1,0
Fully Paid,39500.0, 36 months,19.29,1453.71,183798.89,MORTGAGE,Not Verified,debt_consolidation,ME,18.97,0,730.0,17,0,4491.14,35,w,Individual,64182.16,4699.72,12494.3,0,142.4,3.5,4.7,0,20.6,4,8,5,8,10,96.5,18.8,0
Fully Paid,7000.0, 36 months,14.3,240.26,38625.42,RENT,Source Verified,credit_card,NY,14.01,1,760.0,14,0,24633.61,27,f,Individual,88544.25,15360.07,8864.33,0,141.7,2.4,4.4,0,6.9,5,5,7,11,8,84.9,67.3,0
Charged Off,40000.0, 60 months,29.5,1281.88,55302.3,RENT,Not Verified,other,CA,13.34,0,685.0,10,0,5643.45,20,f,Individual,43736.3,663.6,5417.35,0,209.2,9.3,13.1,0,33.0,6,7,8,10,7,99.6,44.6,0
Fully Paid,17000.0, 36 months,21.94,648.71,120594.75,MORTGAGE,Verified,home_improvement,MD,10.28,0,700.0,11,0,25370.94,26,w,Individual,156456.04,18880.01,6559.72,0,195.3,18.0,6.0,3,13.2,5,6,7,8,7,97.8,32.7,0
Fully Paid,15000.0, 36 months,19.73,555.39,150464.21,MORTGAGE,Source Verified,credit_card,WY,12.44,0,745.0,12,0,2560.61,28,w,Individual,65447.62,7258.6,7374.48,0,108.6,5.5,6.7,1,5.3,5,8,8,11,9,95.8,44.1,0
Fully Paid,32000.0, 36 months,22.57,1231.55,47380.86,MORTGAGE,Not Verified,debt_consolidation,AZ,32.8,0,705.0,14,0,10081.61,24,w,Individual,89215.48,12145.94,612.24,0,162.4,16.4,1.4,2,13.4,0,5,2,8,8,98.9,51.3,0
Fully Paid,16000.0, 60 months,24.25,462.61,38915.9,MORTGAGE,Not Verified,small_business,ME,22.64,0,705.0,5,0,11821.74,19,w,Individual,34191.22,3075.75,5589.25,0,131.6,18.6,12.1,3,7.5,3,6,5,9,10,97.6,52.8,0
Fully Paid,1000.0, 36 months,26.03,40.31,32632.43,MORTGAGE,Source Verified,debt_consolidation,MD,11.17,0,680.0,8,1,55656.82,21,w,Joint App,3064.23,420.44,1165.81,0,126.3,10.2,3.7,3,19.3,4,8,5,7,9,99.2,37.7,0
Fully Paid,37000.0, 36 months,21.86,1410.37,58517.39,MORTGAGE,Not Verified,debt_consolidation,KS,12.59,0,740.0,11,0,95774.85,32,w,Joint App,76947.96,12298.29,3369.66,0,200.8,4.4,4.5,1,14.9,4,8,5,8,9,98.9,13.8,0
Fully Paid,6500.0, 36 months,22.74,250.73,86268.29,MORTGAGE,Source Verified,educational,NM,16.88,0,695.0,10,0,4540.48,25,f,Individual,64804.71,12345.26,8570.0,0,145.9,4.1,2.0,2,23.5,3,8,3,4,11,97.3,22.8,0
Fully Paid,13000.0, 36 months,22.76,501.6,53802.9,ANY,Verified,credit_card,NY,13.52,0,715.0,14,0,4709.38,26,w,Individual,199830.02,23814.86,55131.48,0,139.8,9.2,1.8,0,7.5,1,3,2,3,3,95.5,20.0,0
Fully Paid,31000.0, 60 months,25.82,924.85,115206.47,MORTGAGE,Not Verified,car,CO,17.33,0,705.0,19,0,16180.56,37,w,Joint App,140629.64,13751.25,8615.86,0,160.3,22.4,1.8,2,15.8,1,3,5,7,5,99.1,35.0,0
Charged Off,31214.009248961447, 36 months,26.93,1273.15,51916.29,OWN,Verified,credit_card,IL,21.26,1,680.0,9,2,41625.36,23,w,Individual,42252.29,2438.56,3517.06,0,113.3,2.1,0.9,0,17.6,6,9,9,9,12,71.8,36.8,1
Fully Paid,2500.0, 36 months,19.86,92.73,108681.5,MORTGAGE,Not Verified,credit_card,NH,18.03,0,740.0,17,0,7541.51,34,w,Individual,191361.61,25799.52,3053.93,0,217.9,10.1,8.5,3,20.7,4,6,9,12,7,99.2,53.1,0
Fully Paid,35500.0, 60 months,29.13,1129.65,80472.1,MORTGAGE,Not Verified,credit_card,MD,0.21,0,660.0,13,0,13518.59,33,w,Individual,85920.98,16198.85,1207.47,0,366.3,11.2,5.0,1,12.1,5,10,8,8,11,98.8,23.5,0
Fully Paid,15500.0, 36 months,19.39,571.23,24454.83,OWN,Not Verified,debt_consolidation,MA,24.0,2,725.0,12,0,6886.26,26,f,Individual,19237.22,960.73,10762.03,0,183.1,8.4,3.3,1,6.8,2,4,4,7,7,93.5,28.2,0
Fully Paid,12500.0, 36 months,20.35,466.78,34634.29,MORTGAGE,Source Verified,home_improvement,IL,12.44,0,735.0,13,0,16349.62,27,w,Individual,129598.91,21804.83,827.2,0,134.5,20.8,5.0,3,6.8,0,3,2,5,5,99.0,11.7,0
Charged Off,18735.625081110476, 60 months,26.99,571.99,114935.17,RENT,Source Verified,car,FL,30.21,0,720.0,12,0,7144.08,26,w,Joint App,67652.14,11138.3,0.0,0,100.3,18.9,5.2,0,12.2,2,6,2,5,7,96.4,25.6,0
Fully Paid,37000.0, 36 months,24.74,1466.03,39774.66,MORTGAGE,Source Verified,major_purchase,UT,35.87,1,680.0,13,0,26742.22,23,w,Joint App,62563.24,3544.25,4732.06,0,166.5,7.4,4.2,1,9.8,4,8,5,7,10,86.3,49.8,0
Fully Paid,22000.0, 60 months,21.27,598.52,127231.34,RENT,Not Verified,debt_consolidation,DC,4.85,1,760.0,10,2,4048.41,27,w,Individual,114406.96,14445.5,6976.72,500,183.7,4.3,25.8,1,17.6,0,3,1,6,5,82.2,12.5,0
Charged Off,40000.0, 60 months,30.79,1313.61,58809.5,MORTGAGE,Verified,debt_consolidation,OH,23.34,0,670.0,8,0,10784.25,23,w,Individual,60606.18,5402.49,10879.78,0,149.7,8.8,6.9,3,5.5,2,4,2,3,4,98.2,13.8,0
Charged Off,32805.958497859356, 60 months,30.99,1081.42,28568.03,RENT,Verified,debt_consolidation,AL,18.93,0,660.0,14,0,5656.75,30,w,Individual,34804.85,250.87,2030.24,0,128.3,21.8,9.6,1,3.9,3,5,5,6,5,99.9,46.0,0
Fully Paid,13500.0, 36 months,19.6,498.96,119046.48,RENT,Verified,credit_card,KY,20.56,0,735.0,16,0,3956.3,31,f,Individual,88889.53,24120.27,8918.54,0,190.4,31.7,1.9,0,12.1,1,5,3,8,7,95.9,65.7,0
Fully Paid,30000.0, 60 months,23.55,855.22,53611.11,MORTGAGE,Source Verified,credit_card,FL,0.0,0,720.0,7,0,10019.03,20,f,Joint App,40507.42,2047.72,12743.15,0,154.5,11.5,3.7,3,6.4,1,2,3,4,2,98.2,28.1,0
Fully Paid,4500.0, 36 months,20.29,167.9,80701.74,RENT,Source Verified,debt_consolidation,AZ,14.15,0,730.0,17,0,4733.72,32,f,Individual,15168.33,2057.8,5428.04,0,159.6,8.8,5.3,0,5.5,1,3,2,6,7,96.0,54.3,0
Fully Paid,10000.0, 36 months,22.01,381.96,63805.5,MORTGAGE,Verified,debt_consolidation,OK,10.24,0,685.0,15,0,10193.32,37,w,Individual,19174.19,1942.51,3910.36,0,172.1,1.4,3.5,1,5.4,2,5,2,6,7,97.9,72.3,0
Fully Paid,17000.0, 36 months,25.79,683.04,12610.34,MORTGAGE,Not Verified,debt_consolidation,KY,31.03,0,660.0,16,0,20336.2,27,f,Individual,232495.23,28513.62,7018.71,0,166.8,11.1,0.8,5,25.0,6,8,6,11,10,99.3,65.0,0
Fully Paid,34500.0, 36 months,24.08,1354.98,113316.47,MORTGAGE,Source Verified,credit_card,CT,33.0,0,710.0,9,0,25676.29,23,w,Individual,54823.95,3493.34,35770.35,0,266.1,10.0,2.4,2,16.9,4,10,4,4,15,95.2,75.2,0
Charged Off,6616.34525120061, 36 months,24.82,262.44,89202.82,RENT,Not Verified,credit_card,KS,20.07,0,735.0,17,0,6077.93,32,w,Individual,27952.81,3755.24,119.61,0,173.2,17.8,6.4,0,12.2,4,6,7,9,7,96.2,65.8,0
Fully Paid,36500.0, 36 months,19.16,1340.9,53042.81,MORTGAGE,Not Verified,other,KY,7.45,0,735.0,9,0,17849.19,18,f,Individual,107097.99,17292.19,1582.09,0,187.2,21.2,2.7,1,11.3,2,5,2,6,7,95.6,72.1,0
Fully Paid,29000.0, 36 months,21.98,1107.22,111027.6,RENT,Not Verified,other,TN,10.07,0,740.0,11,0,14293.7,30,w,Joint App,33435.44,1045.59,634.79,0,174.6,14.2,4.7,0,18.0,2,3,2,3,4,95.8,26.1,0
Charged Off,25284.625235935822, 60 months,30.24,821.77,30741.25,RENT,Not Verified,debt_consolidation,VT,22.83,3,680.0,9,1,67478.57,31,w,Individual,29407.96,963.94,0.0,0,142.3,5.2,1.4,0,14.2,3,7,4,11,7,70.3,60.9,1
Fully Paid,35000.0, 36 months,19.64,1294.31,42050.02,MORTGAGE,Source Verified,home_improvement,MI,5.29,2,705.0,11,0,11613.37,25,w,Individual,343251.77,51995.85,32205.53,0,124.9,9.0,12.4,1,21.8,4,4,6,13,5,93.5,1.8,0
Fully Paid,16500.0, 36 months,21.83,628.69,85455.21,MORTGAGE,Not Verified,debt_consolidation,CO,21.61,0,705.0,15,0,13091.11,31,w,Joint App,508097.0,160915.84,1776.74,0,157.6,6.6,0.7,3,32.3,3,5,6,7,5,98.5,45.1,0
Fully Paid,31000.0, 36 months,18.5,1128.52,46513.91,MORTGAGE,Verified,credit_card,WI,15.53,0,765.0,14,0,6899.5,24,w,Individual,89447.16,11873.99,7484.17,0,171.4,18.0,6.2,5,6.9,4,9,5,10,12,98.9,68.1,0
Fully Paid,35000.0, 36 months,20.45,1308.76,67240.7,MORTGAGE,Verified,debt_consolidation,NY,20.23,0,720.0,8,0,4704.06,26,w,Individual,143555.53,22434.87,12321.69,0,145.8,20.9,14.2,2,23.5,4,5,4,6,6,98.0,49.5,0
Fully Paid,1500.0, 36 months,18.53,54.63,39721.25,MORTGAGE,Not Verified,debt_consolidation,OH,20.55,0,730.0,8,1,17438.19,18,f,Individual,82213.6,26453.13,1656.31,0,167.7,10.6,7.2,2,32.3,3,3,6,9,4,99.6,87.3,1
Fully Paid,3000.0, 36 months,19.62,110.91,31730.16,MORTGAGE,Not Verified,debt_consolidation,IA,28.93,0,705.0,19,0,14588.21,31,f,Individual,153147.52,19407.9,1841.72,0,162.2,6.5,7.2,3,13.0,5,6,5,7,11,98.6,4.8,0
Fully Paid,27500.0, 36 months,22.41,1056.08,83701.46,RENT,Source Verified,car,MN,22.6,0,700.0,11,0,34955.61,29,w,Individual,37097.83,2177.91,2722.79,0,112.4,11.8,3.1,0,6.6,4,5,4,5,6,96.1,57.6,0
Fully Paid,35000.0, 36 months,22.9,1353.02,84210.86,OWN,Verified,home_improvement,IA,19.69,0,705.0,8,0,7549.21,29,f,Individual,59457.77,3185.31,8231.16,0,240.2,23.1,6.6,2,12.5,1,2,3,5,4,96.8,39.2,0
Fully Paid,30500.0, 60 months,27.07,932.6,74049.09,MORTGAGE,Verified,credit_card,OH,19.32,0,685.0,11,0,27674.67,26,w,Individual,65055.22,5648.49,3601.82,0,119.5,9.2,7.9,2,20.4,3,4,6,7,9,98.8,39.4,0
Fully Paid,9000.0, 36 months,21.9,343.25,60542.34,MORTGAGE,Verified,home_improvement,IA,0.38,0,720.0,12,0,30137.2,29,w,Individual,19820.48,2071.69,4553.77,0,159.9,2.3,14.3,2,18.8,2,4,2,3,8,98.6,9.2,0
Fully Paid,5500.0, 60 months,22.05,152.06,46289.26,RENT,Verified,small_business,MS,18.73,0,715.0,12,0,8741.01,32,w,Joint App,35765.24,6193.5,7648.94,0,140.4,3.5,16.6,0,14.1,5,6,9,12,11,99.3,39.1,0
Fully Paid,3500.0, 60 months,21.31,95.3,36215.07,RENT,Not Verified,credit_card,NM,22.4,0,725.0,10,0,22806.41,26,w,Joint App,11273.78,2008.41,5620.8,0,125.8,14.9,1.8,0,15.8,5,9,5,6,10,96.0,58.1,0
Fully Paid,8500.0, 36 months,20.18,316.67,35303.63,RENT,Not Verified,debt_consolidation,IL,16.17,0,720.0,12,1,5881.44,21,w,Individual,283302.23,40068.89,4486.15,0,190.5,9.9,6.1,0,13.5,6,8,7,9,10,99.6,26.6,1
Fully Paid,20500.0, 36 months,23.48,798.69,49388.89,RENT,Not Verified,debt_consolidation,OR,31.35,2,715.0,9,1,4254.85,21,w,Individual,96751.68,19935.3,5252.5,0,127.9,15.1,16.4,0,32.4,2,7,3,6,8,94.3,19.4,0
Fully Paid,21000.0, 36 months,21.09,792.15,142035.68,RENT,Source Verified,credit_card,SC,4.57,1,690.0,10,0,7855.03,28,w,Joint App,87313.11,12058.84,726.66,0,235.3,14.0,8.7,0,15.4,4,5,5,7,9,88.8,34.4,0
Fully Paid,36500.0, 60 months,23.67,1043.05,84978.29,RENT,Source Verified,debt_consolidation,CO,10.91,0,730.0,14,0,25969.23,34,w,Individual,48646.14,2945.08,36769.09,0,192.0,31.7,13.8,0,33.2,3,7,3,7,7,99.7,51.6,0
Fully Paid,1500.0, 36 months,18.63,54.7,92425.93,RENT,Source Verified,moving,NJ,11.8,0,745.0,13,0,16302.98,25,f,Individual,18395.28,2777.86,921.09,0,154.2,12.5,1.5,0,5.5,3,3,6,9,6,99.5,37.7,0
Fully Paid,13500.0, 36 months,18.66,492.54,32331.22,MORTGAGE,Source Verified,debt_consolidation,IL,17.28,0,735.0,8,0,14003.16,22,w,Individual,239427.88,42756.43,31155.0,0,163.3,3.5,7.2,5,15.3,2,5,4,8,9,95.1,26.0,0
Fully Paid,3500.0, 36 months,24.5,138.24,82513.3,MORTGAGE,Source Verified,credit_card,DE,11.7,0,685.0,14,0,31889.51,29,w,Individual,209403.34,42856.0,5283.41,0,184.7,14.0,1.5,1,20.1,3,6,4,4,8,96.8,31.0,0
Charged Off,12725.934459880826, 36 months,28.04,526.67,67446.76,OWN,Source Verified,debt_consolidation,CT,11.96,1,680.0,5,0,3957.42,16,f,Individual,135644.68,35522.29,3076.93,0,187.2,3.2,8.7,0,6.2,3,7,5,7,7,71.7,45.2,0
Fully Paid,20000.0, 36 months,20.5,748.38,205009.51,MORTGAGE,Verified,debt_consolidation,CT,14.18,0,735.0,14,0,10581.65,21,w,Individual,94566.57,11124.63,10780.21,0,125.2,5.3,13.0,3,9.7,5,7,6,10,9,95.3,2.6,0
Fully Paid,4500.0, 60 months,22.78,126.29,72243.06,MORTGAGE,Not Verified,home_improvement,WV,25.83,0,735.0,12,2,1820.08,24,w,Individual,250115.94,64789.21,1562.91,0,169.0,5.0,6.8,1,17.0,3,6,3,3,7,98.1,62.9,1
Fully Paid,31000.0, 36 months,17.53,1113.43,56615.46,MORTGAGE,Source Verified,debt_consolidation,CA,23.61,0,735.0,12,0,48571.25,24,w,Individual,407903.35,79360.83,5826.07,0,166.4,3.0,0.9,4,14.6,1,2,2,12,5,99.5,31.3,0
Charged Off,1710.2761130752922, 60 months,25.21,50.41,32920.25,MORTGAGE,Source Verified,moving,MN,16.59,0,735.0,12,0,16571.73,23,w,Individual,114829.95,19704.58,5137.62,0,177.0,5.1,6.1,1,19.5,5,6,5,6,11,97.1,73.3,0
Charged Off,28213.20560292047, 60 months,27.76,874.36,56321.63,RENT,Source Verified,debt_consolidation,OR,19.33,0,705.0,19,0,5575.01,33,w,Individual,317129.5,47544.83,0.0,0,202.8,6.5,1.5,0,13.2,3,8,6,7,11,96.9,39.3,0
Charged Off,28090.407600262613, 60 months,30.99,925.98,47729.98,MORTGAGE,Verified,debt_consolidation,TX,15.89,0,685.0,12,0,69724.82,26,w,Joint App,68463.66,8076.57,0.0,0,159.1,13.5,2.7,3,23.8,3,4,7,9,6,97.7,68.8,0
Charged Off,40000.0, 36 months,22.75,1543.18,112374.78,RENT,Not Verified,debt_consolidation,KS,11.78,0,720.0,9,0,14736.05,20,w,Individual,66532.94,4323.51,17492.99,0,272.2,12.8,4.7,0,16.8,1,4,5,9,5,97.0,82.5,0
Fully Paid,31000.0, 60 months,26.16,931.09,131439.01,RENT,Not Verified,debt_consolidation,AK,20.83,0,720.0,10,0,926.69,23,w,Individual,62808.99,4174.51,20093.37,0,213.8,4.9,5.5,2,9.2,1,3,2,3,5,99.0,44.2,0
